"source","target","type","weight"
"classic rock","rock español","origin","0.8"
"new wave","rock español","origin","0.6"
"son jarocho","ranchera","origin","0.7"
"spanish music","son jarocho","origin","0.8"
"indigenous colombian music","son jarocho","origin","0.7"
"pop","city pop","origin","0.7"
"pop","indie pop","origin","0.8"
"pop","c-pop","origin","0.7"
"pop","art pop","origin","0.7"
"pop","bedroom pop","origin","0.8"
"pop","dreamy pop","origin","0.7"
"pop","alternative pop","origin","0.8"
"pop","pop rock","origin","0.8"
"classic rock","pop rock","origin","0.7"
"pop","acoustic pop","origin","0.8"
"folk","cajun inspired","origin","0.7"
"americana","psychedelic folk","origin","0.7"
"folk","galician folk","origin","0.8"
"blues","americana","origin","0.7"
"country","americana","origin","0.8"
"folk","flamenco","origin","0.7"
"african percussion","flamenco","origin","0.7"
"folk","acid-folk","origin","0.8"
"blues","doo-wop","origin","0.7"
"folk","progressive folk","origin","0.8"
"folk","alternative folk","origin","0.8"
"alternative rock","alternative folk","origin","0.6"
"devotional","qawwali","origin","0.8"
"folk","folk español","origin","0.8"
"folk","country","origin","0.8"
"country","alternative country","origin","0.8"
"alternative rock","alternative country","origin","0.6"
"alternative rock","dreamy folk","influence","0.35"
"afro funk","blues","influence","0.35"
"neo-soul","jazz","influence","0.63"
"rock latino","swing music","influence","0.58"
"sahelian folk","maghreb pop","influence","0.5"
"african percussion","soukous","origin","0.8"
"sahelian folk","egyptian pop","influence","0.4"
"avant-garde","alternative rock","influence","0.39"
"folk latino","hip hop latino","influence","0.39"
"rock latino","hip hop latino","influence","0.91"
"folk latino","samba","influence","0.39"
"dreamy electronic","avant-garde","influence","0.58"
"hip hop","experimental","influence","0.49"
"r&b","soul","influence","0.35"
"r&b","reggae","influence","0.53"
"jazz","avant-garde","influence","0.39"
"dreamy pop","bossa nova","influence","0.35"
"chanson","jazz","influence","0.35"
"folk","eurasian folk","origin","0.7"
"folk rock","alternative rock","influence","0.39"
"musical theater","dark folk","influence","0.39"
"r&b","hip hop","influence","0.39"
"dark folk","chanson","influence","0.39"
"neo soul","afrobeat","influence","0.39"
"medieval","folk","influence","0.35"
"electrocumbia","neo-psychedelic","influence","0.35"
"art rock","alternative rock","origin","0.7"
"glam rock","punk","origin","0.7"
"ambient","downtempo","origin","0.7"
"downtempo","dreamy electronic","origin","0.7"
"folk","canzone italiana","origin","0.75"
"doo-wop","soul","origin","0.7"
"alternative pop","r&b","influence","0.49"
"pop latino","funk","influence","0.35"
"folk","electronic","influence","0.44"
"hip hop","soul","influence","0.35"
"alternative pop","funk","influence","0.35"
"dark folk","ambient","influence","0.63"
"experimental","hip hop","influence","0.49"
"gnawa","jazz","influence","0.35"
"folk latino","electronic","influence","0.35"
"electronic","pop","influence","0.35"
"soul","r&b","influence","0.39"
"rock latino","blues","influence","0.35"
"indie pop","folk","influence","0.35"
"alternative rock","electronic","influence","0.35"
"electronic","cumbia","influence","0.35"
"folk","baroque pop","influence","0.35"
"folk","blues","influence","0.49"
"electronic","alternative pop","influence","0.35"
"soul","hip hop","influence","0.35"
"soul","jazz","influence","0.35"
"electronic","hip hop","influence","0.35"
"hip hop","jazz","influence","0.35"
"jazz","electronic","influence","0.35"
"alternative r&b","hip hop","influence","0.35"
"electronic","soul","influence","0.35"
"jazz","folk español","influence","0.35"
"electronic","r&b","influence","0.35"
"folk rock","soul","influence","0.35"
"alternative r&b","electronic","influence","0.35"
"jazz","r&b","influence","0.35"
"electronic","jazz","influence","0.35"
"r&b","electronic","influence","0.35"
"jazz","afrobeat","origin","0.8"
"funk","afrobeat","origin","0.8"
"country","folk","influence","0.35"
"west african pentatonic","sahelian folk","origin","0.7"
"west african pentatonic","blues","origin","0.7"
"west african pentatonic","tuareg music","origin","0.7"
"sahelian folk","jaliya tradition","origin","0.7"
"sahelian folk","afropop","origin","0.7"
"sahelian folk","gnawa","origin","0.7"
"funk","moroccan funk","origin","0.7"
"reggae","libyan reggae","origin","0.7"
"chanson","chanson haïtienne","origin","0.7"
"eurasian folk","georgian polyphonic","origin","0.7"
"african percussion","contemporary maloya","origin","0.8"
"african percussion","guinean ceremonial music","origin","0.7"
"brasileira","jazz","influence","0.35"
"alternative folk","bossa nova","influence","0.35"
"jaliya tradition","african folk","influence","0.39"
"gnawa","moroccan funk","origin","0.7"
"tuareg music","blues","influence","0.35"
"post-punk","reggae rock","influence","0.35"
"chanson haïtienne","chanson","influence","0.35"
"georgian polyphonic","eurasian folk","influence","0.35"
"qawwali","indie jazz","influence","0.35"
"jazz","bolero","influence","0.35"
"flamenco","alternative rock","influence","0.35"
"folk","klezmer","origin","0.7"
"flamenco","flamenco urbano","origin","0.7"
"folk","dreamy folk","origin","0.7"
"dreamy folk","jazz","influence","0.35"
"flamenco urbano","folk español","influence","0.35"
"son cubano","jazz","influence","0.35"
"folk español","dreamy pop","influence","0.35"
"reggae","hip hop","influence","0.35"
"klezmer","jazz","influence","0.35"
"lebanese folk","electronic","influence","0.35"
"dreamy electronic","folk","influence","0.35"
"classical","contemporary classical","origin","0.7"
"classical","neoclassical","origin","0.7"
"classical","minimalism","origin","0.7"
"classical","chamber music","origin","0.7"
"classical","choral","origin","0.7"
"classical","opera","origin","0.7"
"classical","orchestra","origin","0.7"
"classical","requiem","origin","0.7"
"classical","japanese classical","origin","0.7"
"classical piano","contemporary classical","origin","0.7"
"contemporary classical","neo-classical","origin","0.7"
"minimalism","acousmatic","origin","0.7"
"classical","space music","origin","0.7"
"classical","new age","influence","0.7"
"soul","retro soul","origin","0.7"
"soul","northern soul","origin","0.7"
"soul","soul blues","origin","0.7"
"soul","quiet storm","origin","0.7"
"soul","new jack swing","origin","0.7"
"soul","afro soul","origin","0.7"
"blues","modern blues","origin","0.7"
"funk","funk rock","origin","0.7"
"r&b","j-r&b","origin","0.7"
"r&b","uk r&b","origin","0.7"
"hip hop","german hip hop","origin","0.7"
"hip hop","hip hop italiano","origin","0.7"
"hip hop","hardcore hip hop","origin","0.7"
"hip hop","arabic hip hop","origin","0.7"
"hip hop","j-rap","origin","0.7"
"hip hop","rap","origin","0.7"
"hip hop","jazz rap","origin","0.7"
"hip hop latino","r&b latino","origin","0.7"
"rock latino","mexican rock","origin","0.7"
"rock latino","mexican indie","origin","0.7"
"rock latino","argentine rock","origin","0.7"
"rock latino","indie latino","origin","0.7"
"folk español","pop acustico","origin","0.7"
"ska","ska latino","origin","0.7"
"jazz","ethiopian jazz","origin","0.7"
"jazz","jazz rap","origin","0.7"
"jazz","jazz house","origin","0.7"
"electro swing","jazz","origin","0.7"
"swing music","electro swing","origin","0.7"
"ska","ska punk","origin","0.7"
"punk","ska punk","origin","0.7"
"gnawa","mizrahi","influence","0.7"
"house","gqom","origin","0.7"
"folk","balkan","origin","0.7"
"flamenco","flamenco pop","origin","0.7"
"candombe","murga","origin","0.7"
"african percussion","bullerengue","origin","0.7"
"cumbia","bullerengue","influence","0.7"
"folk latino","folclor andino","origin","0.7"
"native american music","folclor andino","influence","0.7"
"folk latino","native american music","origin","0.7"
"samba","brazilian hip hop","origin","0.7"
"hip hop","brazilian hip hop","origin","0.7"
"brasileira","forró","origin","0.7"
"city pop","shibuya-kei","origin","0.7"
"pop","schlager","origin","0.7"
"pop","nederpop","origin","0.7"
"pop","kayokyoku","origin","0.7"
"rock and roll","british pop","origin","0.7"
"european immigrant music","tango","origin","0.7"
"folk latino","guasca","origin","0.7"
"folk latino","carranga","origin","0.7"
"dub","cumbia","influence","0.35"
"jazz","psychedelic rock","influence","0.39"
"folk latino","reggae","influence","0.35"
"bambuco","guasca","origin","0.7"
"bambuco","carranga","origin","0.7"
"bambuco","folclor andino","origin","0.7"
"reggaeton","reggaeton chileno","origin","0.7"
"african percussion","punta","origin","0.7"
"cumbia","cuarteto","origin","0.7"
"cumbia","electrocumbia","origin","0.7"
"cumbia","cumbia digital","origin","0.7"
"tango","cuarteto","influence","0.7"
"folk latino","villancicos","origin","0.7"
"currulao","colombian experimental","origin","0.7"
"electronic","colombian experimental","influence","0.7"
"african percussion","shona mbira","origin","0.8"
"indie dance","funk","influence","0.45"
"hip hop latino","folclor andino","influence","0.4"
"disco","cosmic disco","origin","0.7"
"new wave","coldwave","origin","0.7"
"chanson","french pop","origin","0.7"
"electronic","french pop","influence","0.4"
"hip hop","jazz hop","origin","0.8"
"jazz","jazz hop","origin","0.6"
"hip hop","instrumental hip hop","origin","0.8"
"hi-nrg","house","origin","0.7"
"hip hop","trip hop","origin","0.8"
"elektronische musik","ambient","origin","0.8"
"electronic","synthpop","origin","0.7"
"folk","chanson","origin","0.7"
"punk","folk","influence","0.4"
"alternative rock","post-punk","influence","0.4"
"psychedelic rock","hard rock","influence","0.4"
"new wave","reggae rock","origin","0.7"
"garage rock","punk latino","origin","0.8"
"rock and roll","garage rock","origin","0.85"
"proto-punk","punk","origin","0.9"
"house","french house","origin","0.8"
